features,score
v110_A,0.04140553282748299
v110_B,0.030556963129366156
v50,0.023034688772273774
v31_A,0.023033497158649996
v66_C,0.021480253393559003
v66_B,0.02071804012284473
v129,0.017013513868325406
v47_C,0.01319819236268265
v66_A,0.010172801628024484
v24_E,0.006685120373651295
v125_BL,0.005971719831437499
v38,0.0058948480585516334
v56_CY,0.005888118722423283
v79_E,0.005648694487599405
v112_C,0.00562516861670619
v79_P,0.005431422343535425
v79_B,0.00528438082101553
v62,0.004784595609522438
v56_DR,0.004780437068471501
v24_D,0.0047570982301803
v3_C,0.004662986446103971
v56_DY,0.004588587770282425
v24_C,0.004406654897477353
v56_BW,0.004316994741897959
v56_DI,0.004261502301536527
v113_AG,0.004237268671468686
v56_BX,0.004193034161098804
v30_A,0.004174024629301514
v113_M,0.004150786299094979
v125_AP,0.004110506384363143
v56_P,0.004038934222802754
v125_T,0.0039798635151795355
v56_BK,0.0039537253632802695
v74_C,0.003937779225140097
v56_AF,0.0039285524690178064
v79_K,0.003925951505700815
v125_X,0.0039155132701457615
v56_DH,0.0038823862417408416
v79_O,0.0038820990350654978
v125_CF,0.0038417728681852162
v30_C,0.0038148499790307566
v112_R,0.0037126847125358046
v74_B,0.0037110893226545206
v56_BV,0.0036713422444986633
v112_L,0.003657449480529428
v56_BL,0.003647474988174282
v125_AF,0.003575595095181022
v56_CN,0.0035449995060522145
v56_N,0.0035334965214751978
v56_BM,0.003520158063945523
v24_A,0.0034789062519602738
v47_F,0.0034720586508715924
v125_AR,0.0034525140719420724
v30_D,0.0034158172918437426
v112_G,0.0034110927043441586
v125_AQ,0.0034062716961211987
v56_BZ,0.0034055599614882326
v113_U,0.0033112071698204993
v125_B,0.0033048242576624435
v75_B,0.003303962240142701
v125_BG,0.0032905929523408687
v113_C,0.0032636446147809267
v79_Q,0.003248363221961816
v125_AS,0.0031854022757625846
v125_N,0.003182027803152572
v71_F,0.003153585648718503
v79_C,0.0031357191742570688
v118,0.003127056603782317
v93,0.0030805268143854697
v56_DF,0.0030789375920471014
v125_Y,0.0030749277590237864
v125_U,0.003040405866706842
v40,0.003037875283314924
v114,0.003018918645361195
v34,0.003017344197555274
v52_B,0.002976646662983785
v112_F,0.002956473161464817
v125_AL,0.002949040219238268
v86,0.002945559839035553
v60,0.0029224714895310024
v56_DO,0.002920016377768656
v49,0.002917213344990852
v33,0.0029077320396469833
v44,0.0028989877342969618
v125_CJ,0.0028923859202548176
v73,0.0028730628516314654
v30_F,0.0028616642846187447
v32,0.0028584370068627267
v125_AW,0.0028570559831517066
v67,0.0028556992887703993
v36,0.0028469538153467065
v61,0.0028359988715456704
v47_G,0.0028333748872856565
v113_F,0.002830427972575994
v125_V,0.0028269036597670144
v10,0.002823277704132888
v106,0.002814271133683904
v131,0.002806423882034307
v43,0.00280507498363996
v56_DP,0.002803639435579122
v112_P,0.0027897065757827104
v58,0.002773964473223294
v29,0.002771926915089124
v7,0.002770275912305727
v19,0.002764110160408921
v45,0.0027632225183341482
v125_A,0.002760800083246043
v90,0.0027598876203698596
v117,0.0027547594738704497
v39,0.002743916038295126
v56_BJ,0.0027427603367707848
v109,0.0027398024492900535
v130,0.002738711590976135
v47_E,0.002736046593094083
v51,0.002724081929890029
v53,0.002723932862405779
v128,0.002719722194627313
v113_B,0.0027187734086257464
v64,0.002718436048226795
v11,0.002713131422596954
v115,0.0027126749133537047
v125_BR,0.0027117624786705237
v68,0.002709864051133916
v98,0.002708616816334685
v125_L,0.0027057217619020834
v55,0.002701295617457774
v65,0.0026986346837677023
v103,0.0026958346359727864
v127,0.0026945751510146112
v87,0.002693642064410362
v100,0.002685552629619342
v16,0.0026796397763323874
v78,0.002677889426653877
v81,0.002677178541128806
v20,0.002668336084865887
v9,0.002651406438761883
v89,0.002649641136217651
v122,0.0026453220377836407
v88,0.002632701256187849
v125_BX,0.0026324504176014245
v121,0.0026277362029261805
v18,0.002627430195677237
v123,0.0026186355249896084
v84,0.0026108846035992166
v48,0.0026063119854723587
v57,0.0026057377711746956
v6,0.0026026207211004584
v94,0.002593465674258152
v125_Z,0.0025847305002789176
v119,0.0025837157028727165
v15,0.0025829578478414423
v12,0.0025829080414582904
v69,0.002582099036241045
v116,0.0025775099929610085
v4,0.0025630070049756756
v83,0.002562051739442658
v111,0.002555982151302409
v104,0.0025545986709015456
v125_AN,0.00255310388717169
v26,0.0025521368535893515
v97,0.0025417576594963733
v76,0.002537510180586701
v125_BF,0.002537376318458014
v95,0.0025277722067892964
v85,0.0025241125700703523
v126,0.002523271510898739
v125_J,0.0025219440736752394
v35,0.0025195976938111354
v21,0.00251286363707126
v92,0.0025074267190160126
v17,0.0025012008759908422
v37,0.0024967574256861444
v113_Q,0.0024891481172541106
v102,0.0024857005626360436
v59,0.0024782015230083517
v77,0.002477416284213383
v112_U,0.00247070022017514
v101,0.002464736041293434
v99,0.0024634371225293428
v56_AW,0.002462916748148472
v80,0.002456135753335463
v42,0.0024524584692140763
v105,0.0024463258292889236
v13,0.0024380072438339884
v82,0.0024276168954442995
v28,0.0024265500281388363
v124,0.0024257255903172995
v72,0.002421510837394194
v24_B,0.0024214281344738264
v70,0.002419625885192853
v113_Y,0.0024035515987603957
v113_D,0.0024028587953184876
v125_BJ,0.002399612345603539
v2,0.0023969009586798044
v96,0.0023842951320598455
v46,0.002380417230003606
v113_G,0.0023797733075178597
v27,0.002372680028779981
v125_G,0.0023696315962911095
v120,0.0023653964886247427
v63,0.002361542043693784
v52_I,0.002351844969376946
v1,0.0023440400068810924
v56_AG,0.0023424897657035966
v79_I,0.002330216982196185
v41,0.0023043637712497835
v25,0.0023022610494692285
v112_A,0.002296098083852379
v56_U,0.002293607684216184
v113_AJ,0.0022873008307940624
v52_D,0.0022861216596859356
v23,0.0022837527026614724
v47_J,0.002280674063077849
v108,0.002279364994471267
v5,0.002270995294107124
v79_J,0.002269850853612862
v125_F,0.0022686362281599155
v107_A,0.0022527132060335513
v125_BW,0.002250960428631686
v125_CA,0.002248154362749592
v125_BD,0.002244779993447497
v125_BY,0.00224473451166015
v52_A,0.002229279730145914
v52_J,0.0022228709330860013
v125_BK,0.00221371198756113
v112_N,0.0021966246226058396
v14,0.0021922088276581393
v79_H,0.0021877871350398778
v71_C,0.00215890242271245
v125_S,0.002153039990271256
v125_H,0.0021522715038929186
v113_AD,0.00213274315614062
v125_BM,0.002132681784728931
v54,0.0021260743686684785
v125_AZ,0.0021257546088059268
v91_A,0.002112771937996803
v125_R,0.002103847828176501
v113_AC,0.0021002639834518965
v113_I,0.0020987505484425933
v113_A,0.0020949015132467924
v52_G,0.00209391928405666
v56_CF,0.002084427144452338
v56_R,0.002083701291837124
v113_AE,0.002064202322400379
v71_B,0.002027406031034832
v125_CB,0.002002545216424141
v125_AU,0.0020008430946505734
v47_D,0.002000661989748128
v125_BQ,0.0019823938956356666
v125_BV,0.001973439155996426
v8,0.001964495044340883
v107_B,0.0019631203574604064
v112_O,0.0019257659341960064
v112_V,0.0019225684116495302
v52_H,0.0019216174476422894
v91_G,0.001917353962075083
v91_F,0.0019077277196424876
v79_D,0.001902342923166957
v113_P,0.0019021016933872298
v112_J,0.0018985203305383694
v79_F,0.0018875785269264406
v125_CD,0.0018781365016662165
v112_T,0.0018635775754794397
v91_B,0.0018612521557781342
v113_AF,0.0018491034783491814
v91_C,0.0018483137037404046
v113_T,0.0018416436582739922
v112_Q,0.001841203300689922
v56_BA,0.0018373094934403397
v113_AB,0.001837079098581805
v56_DX,0.001834424125466143
v125_E,0.0018171949568158649
v113_W,0.0018051217164717596
v112_H,0.0017901743843704175
v30_G,0.0017583712393586298
v112_I,0.0017566142447900531
v52_E,0.0017466372280269635
v113_X,0.001745253689364181
v91_E,0.001731467601762597
v56_V,0.0017279226530396456
v112_D,0.0016347084504467627
v112_E,0.001618971960483706
v52_F,0.0016131339795885122
v56_DJ,0.0016121019984873897
v47_I,0.00150705460050434
v30_E,0.0015048198394323497
v125_BB,0.00149358568901081
v56_DS,0.0014906379158584114
v56_BH,0.0014847927714285785
v125_BH,0.0013878397472660159
v112_M,0.0013660288567554988
v125_CE,0.001363761836476179
v125_CK,0.001357937421005578
v125_BI,0.0013151793537471243
v56_A,0.0012747904685361168
v125_CG,0.001236536576857537
v125_K,0.0012306104568652807
v56_AS,0.0012298494295551762
v79_N,0.001205336617104254
v125_BN,0.0011866974756624352
v52_K,0.001181172575817144
v79_M,0.0011733681655795656
v56_Z,0.001142874652174917
v56_BS,0.0011377178904609484
v107_E,0.0011354420603493466
v113_L,0.0011246226562514922
v125_AK,0.001113849288517647
v52_L,0.0009852935456987645
v107_C,0.0009378979670827054
v125_BC,0.0008769147208026713
v113_S,0.0008685665650054568
v112_K,0.000754514339179291
v52_C,0.0007081754802004583
v31_B,0.0005915521504444332
v125_BP,0.0005278205761328722
v125_AC,0.0005213016954056191
v56_CS,0.0005010812832439984
v125_AM,0.00018956978468053184
v125_AB,0.00010519727444077595
